PUPIL_NUMBER	SCHOOL	NOTE_DATE	REPLACE(REPLACE((SELECTEDP_CONV.NOTE_LONG_TO_VARCH(N.PUPIL_NUMBER,COALESCE(N.MOD_DATE,N.ENTRY_DATE))FROMDUAL),CHR(10)),CHR(13))
114508	197	1/7/2005	left early
114508	197	10/26/2004	5 TARDYS
114508	197	12/16/2004	late
114508	197	12/7/2004	home sick
114508	197	11/5/2004	lateleft early
114508	197	1/10/2005	l/m
114508	197	11/8/2004	late
114508	197	1/11/2005	grandma c/they are in Salem
114508	197	1/3/2005	late/thought no school
114508	197	12/9/2004	left early
114508	197	12/15/2004	late
114508	197	12/6/2004	Mom c/James home w/bad cold-requested Mrs. T. cb.
114508	197	2/10/2005	still sick w/flu
114508	197	2/4/2005	l/mchecked in late had apt.
114508	197	2/14/2005	mom c/still sick
114508	197	5/11/2005	20 tardies
114508	197	2/8/2005	left early sick
114508	197	2/9/2005	sick / 102 temp.
114508	197	2/15/2005	late
114508	197	2/18/2005	snt 1st principal letter
114508	197	3/28/2005	late/dental appt
114508	197	4/8/2005	late
114508	197	4/22/2005	late
114508	197	4/7/2005	late
114508	197	5/6/2005	late
114508	197	4/12/2005	ortho appt.
114508	197	4/14/2005	mom c/James illJames came late
114508	197	2/11/2005	mom c/home ill
114508	197	2/2/2005	late
114508	197	5/13/2005	left early
114508	197	5/27/2005	late
114509	290	12/4/2003	
114509	290	12/4/2003	
114509	290	12/15/2003	mom c/sick
114509	290	12/16/2003	mom called/home sick
114509	290	12/12/2003	mom called   / home sick
114509	290	12/11/2003	out @ 8:55
114509	290	12/17/2003	mom c/he is still home sick
114509	290	12/18/2003	mom c/home sick
114509	290	2/18/2004	Dental appt/ex.
114509	290	2/20/2004	mom c/home sick
114509	290	3/1/2004	mom  c/home sick
114509	290	4/21/2004	eye exam/Lyons
114509	290	4/16/2004	parent c/home sick
114510	290	10/29/2003	mom c/sicknote snt
114510	290	1/22/2004	
114510	290	1/22/2004	
114510	290	3/3/2004	chickenpoxrcvd note for all last week
114510	290	2/25/2004	mom c/home sick
114510	290	2/24/2004	mom c/home sick
114510	290	3/1/2004	chicken pox since last Sunday 22nd.  would like homework w/email teacher
114510	290	2/27/2004	chicken pox
114510	290	2/26/2004	chicken pox
114510	290	6/4/2004	latelast day-singing tour for five weeks
114510	290	6/7/2004	
114510	290	6/8/2004	
114510	290	6/9/2004	
114510	290	4/26/2004	mom c/took Hannah 2/hospital last night for migrane.  They gave her med. and mom is having difficult time getting her to wake up.  W/bring her late
114510	290	6/7/2004	
114510	290	6/8/2004	
114510	290	6/9/2004	
114510	290	4/16/2004	mom c/Hannah w/youth group in Portland
114511	290	9/30/2003	mom c/sick
114511	290	10/1/2003	parent c/sick
114511	290	11/17/2003	sick/home/dad
114511	290	10/21/2003	mom c/sick
114511	290	10/17/2003	late/8:17
114511	290	10/20/2003	ex
114511	290	12/3/2003	sick
114511	290	11/14/2003	home @ 12:25
114511	290	12/4/2003	still sick
114511	290	12/2/2003	home @ 12:20
114511	290	12/1/2003	Bridge up/ex.
114511	290	10/9/2003	car broke down on way 2/school. ex.
114511	290	11/18/2003	dad c/sick
114511	290	11/25/2003	late/8:16
114511	290	11/19/2003	left/12:35
114511	290	12/15/2003	dad c/out of town for day
114511	290	12/17/2003	dad c/still sick.  I requested homework
114511	290	9/29/2003	left@12:35
114511	290	1/9/2004	
114511	290	1/7/2004	mom c/home sick
114511	290	1/23/2004	sent principal's letter informing parent of 14 absentee's
114511	290	1/5/2004	left 10:40
114511	290	1/6/2004	still sick
114511	290	1/26/2004	sick
114511	290	12/5/2003	dad c/sick
114511	290	2/2/2004	dad c/home sick
114511	290	1/30/2004	l/m
114511	290	2/3/2004	dad c/home sick-set appt.w/Mrs. Tedder 4/Wed.@10:30 to discuss absences.
114511	290	2/2/2003	Dad c/home sick
114511	290	2/13/2004	late
114511	290	2/6/2004	late
114511	290	2/5/2004	dad c/home sick
114511	290	1/9/2004	
114511	290	2/4/2004	dad c/home sick-going 2/Dr. today
114511	290	3/3/2004	late
114511	290	2/24/2004	still sick
114511	290	2/23/2004	mom c/home sick
114511	290	3/4/2004	LTR SNT 3/4
114511	290	1/28/2004	late
114511	290	3/10/2004	late / ex.
114511	290	3/12/2004	dad c/Jackie throwing up
114511	290	2/19/2004	late
114511	290	3/30/2004	Dad c/home sick
114511	290	3/31/2004	Dad c/home sick
114511	290	3/8/2004	late
114511	290	3/19/2004	dad c/home sick
114511	290	4/5/2004	late
114511	290	4/7/2004	lateleft early sick 9:53
114511	290	4/9/2004	Dad says she sick
114511	290	4/6/2004	mom c/home sick
114511	290	3/1/2004	late
114511	290	4/13/2004	late
114511	290	4/30/2004	late
114511	290	4/23/2004	late
114511	290	4/8/2004	dad c/home sick
114511	290	5/24/2004	Dad c/on way 2/Dr.
114511	290	5/12/2004	late
114511	290	5/21/2004	late
114511	290	4/16/2004	late
114511	290	5/10/2004	dad c/Jacquie home sick
114511	290	4/15/2004	late
114511	290	5/11/2004	dad/cb-still sick
114511	290	4/19/2004	left early
114511	290	4/29/2004	parent phoned/student sick
114511	290	5/7/2004	late / traffic accident
114511	290	4/22/2004	late
114511	290	5/4/2004	late
114511	290	5/18/2004	left early
114511	290	4/27/2004	late
114511	290	5/25/2004	late
114511	290	4/28/2004	late
114460	290	9/29/2004	
114460	290	9/22/2004	left @ 11:20Rcvd note Dr/Roseburg
114460	290	9/29/2004	
114460	290	11/18/2004	Eugene/grandma's surgry
114460	290	12/13/2004	l/m
114460	290	2/3/2005	sick/throwing up
114460	290	1/7/2005	missed bus-mom sick/if s/can find ride w/send kids
114460	290	2/1/2005	left early
114460	290	12/7/2004	Mom sent letter stating Heather has ortho appt in Roseburg @ 10:00, then back 2/North Bend for 2:00 counselingShe w/b at bowling @ 3:00-also gave Dave copy of note
114460	290	11/4/2004	left early
114460	290	12/9/2004	left early
114460	290	11/17/2004	Heather answered going 2Roseburg for dental appt.  Also gone Thursday for surgery in
114460	290	4/21/2005	
114460	290	4/21/2005	
114460	290	4/20/2005	still sick/ may return on Friday?
114460	290	5/3/2005	16abs
114460	290	3/3/2005	l/m
114460	290	4/19/2005	Called home - Heather is sick
114460	290	4/26/2005	left early
114460	290	3/15/2005	left early
114460	290	4/22/2005	mom c/still ill. req.more homework/snt email 2/teacher
114460	290	4/12/2005	left early
114460	290	2/14/2005	1)eating on bus
114460	290	4/13/2005	parent c/home ill
114460	290	10/19/2005	not feeling well
114460	290	10/11/2005	lice
114460	290	10/25/2005	n/a
114460	290	10/24/2005	l/m
114460	290	9/28/2005	
114460	290	9/28/2005	
114460	290	11/2/2005	ltrs snt 5.5.AB
114460	290	12/12/2005	Dr.appt
114460	290	1/27/2006	poa renewal snt
114460	290	2/8/2006	sore throat/just not feeling good
114460	290	2/15/2006	left early
114460	290	1/3/2006	
114460	290	1/3/2006	
114460	290	3/20/2006	missed bus
114460	290	5/11/2006	left early
114461	290	9/26/2003	l/m
114461	290	9/22/2003	Custody trial begins Fri. All r/emotionally exhausted.  Thinks he may come late.  Mom cb/Colton staying home all day.
114461	290	11/12/2003	late/8:27
114461	290	10/31/2003	l/mmom cb Colton shld/b here/called Mrs. Banta 2/verify / he was, I called mom back 2/let her know
114461	290	10/23/2003	l/mparent cb/flu
114461	290	10/16/2003	late/8:24
114461	290	10/29/2003	@ dentist/Roseburg-
114461	290	10/22/2003	left/12:30
114461	290	12/19/2003	l/mm/cb sick
114461	290	12/18/2003	101 temp
114461	290	1/20/2004	
114461	290	12/5/2003	l/mparent cb/they are out of town for Dr. apt
114461	290	2/5/2004	In Seattle until 2/10
114461	290	2/6/2004	In Seattle
114461	290	2/9/2004	Seattle
114461	290	2/18/2004	left earlysister had 4 teeth pulled
114461	290	2/10/2004	
114461	290	2/10/2004	
114461	290	1/20/2004	
114461	290	2/4/2004	In Seattle until Thursday
114461	290	3/5/2004	SNT 3/8
114461	290	3/18/2004	n/alate
114461	290	2/19/2004	l/mmom c/b-whole family throwing up
114461	290	4/2/2004	n/amom cb/he is home sick
114461	290	3/15/2004	parent c/home sick
114461	290	4/7/2004	late
114461	290	5/5/2004	l/m
114461	290	5/10/2004	late
114461	290	5/7/2004	late
114461	290	12/13/2004	l/m
114461	290	4/19/2005	Called home - Colton is sick
114461	290	1/7/2005	missed bus/mom's sick-if she can find ride they'll b/in
114461	290	11/17/2004	Going 2/ Roseburg 4/brothers dental appt.  Had to go as no one would b/home.  Also gone Thursday, grandma having surgery in Eugene.
114461	290	11/18/2004	Sister said they would b/in Eugene for grandma's surgery
114461	290	4/21/2005	sickreq.cb from parentmom cb/maybe here Friday
114461	290	4/20/2005	still sick/ may return on Friday?
114461	290	3/3/2005	l/m
114461	290	3/19/2007	attempted to call home. no connection
114462	290	1/7/2009	teacher snt email informing me of appt for student today
114462	290	12/12/2008	left early BB
114462	290	10/30/2008	left early
114462	290	3/4/2009	
114462	290	3/4/2009	
114462	290	3/4/2009	
114462	290	3/4/2009	
114463	290	1/7/2009	parent c/ill
114463	290	1/8/2009	parent c/still ill
114463	290	1/20/2009	parent c/keeping home for inaugural speech
114463	290	11/14/2008	overslept
114465	290	11/5/2008	
114465	290	10/14/2008	left early arm botherin her
114465	290	12/8/2008	recovering-from accidentrcvd note
114465	290	1/13/2009	
114465	290	1/13/2009	
114465	290	10/13/2008	parent brought student...she broke elbow on 4wheeler this weekend...back when in hard cast
114465	290	1/14/2009	still recovering
114465	290	12/15/2008	ill per mom
114465	290	2/3/2009	guardian c/home ill
114465	290	1/16/2009	recovering ankle
114465	290	10/29/2008	appt
114465	290	1/15/2009	recoup/ankle
114465	290	2/25/2009	left early dr.appt
114465	290	10/22/2008	dr.appt
114465	290	1/26/2009	guardian c/ dr.appt/  & just not feeling wellrcvd note
114465	290	11/19/2008	dr.appt
114465	290	12/4/2008	was in car accident / and w/b back on Monday
114465	290	1/9/2009	overslept
114465	290	2/2/2009	pu early
114468	290	12/11/2008	parent c/ill
114468	290	1/20/2009	home # disconnectedg'ma's funeral
114468	290	3/2/2009	Pam c/sick
114468	290	3/3/2009	still ill
114468	290	2/26/2009	
114468	290	2/26/2009	
114468	290	2/27/2009	home ill
114468	290	3/4/2009	left early ill
114468	290	3/5/2009	c/cell-mom said she's having lab work today/sister diagnosed w/diabetes-reminded of swiming.
114471	197	9/3/2008	left early ill
114471	197	9/4/2008	dad c/still sick
114471	197	10/14/2008	n/a
114471	197	12/8/2008	sore throat
114471	197	10/31/2008	l/m
114471	197	10/30/2008	dental appt
114471	197	11/21/2008	dr.appt
114471	197	10/9/2008	dr.appt
114471	197	12/12/2008	l/mdad cb  - dad dropped him off/student did not check in office
114471	197	10/7/2008	left early dr.
114471	197	12/1/2008	n/adad cb Joseph @ mom's in Coquille/no way to get him her until this afternoon
114472	290	9/16/2008	l/mmom c/b had very sore throat/took 2/er...they said virus 2/watch it couple days
114472	290	12/2/2008	late/dr.appt
114473	197	12/8/2008	
114473	197	12/8/2008	
114473	197	11/6/2008	left early
114473	197	10/15/2008	left early ill
114474	10155	9/9/2008	dad called ear ache
114474	10155	9/8/2008	counseling appt
114474	10155	1/7/2009	parent c/waiting for dr.report regarding strep
114474	10155	1/8/2009	mom called still running fever
114474	10155	1/6/2009	parent c/fever
114474	10155	10/17/2008	late
114474	10155	1/12/2009	spots on back of throat / virus
114474	10155	1/13/2009	snt 1/14
114474	10155	9/29/2008	parent c/ill
114474	10155	12/2/2008	missed bus
114474	10155	12/3/2008	1)excessive mischief2)horseplay-shooting rubber bands, hitting another student w/rubber bands.Off all buses two days
114474	10155	10/2/2008	still ill
114474	10155	10/16/2008	running late
114474	10155	1/9/2009	parent c/going to dr.
114474	10155	9/30/2008	parent c/no fever today/was 102 last night...keeping home one more day
114474	10155	10/1/2008	left early ill/fever
114477	290	2/17/2009	l/m
114478	290	9/17/2008	left early family emergency
114478	290	9/18/2008	out w/family emergency
114480	199	2/20/2009	running fever
114480	199	2/17/2009	parent c/fever
114483	290	9/22/2008	mom c/ill
114483	290	9/10/2008	
114483	290	9/10/2008	
114483	290	12/10/2008	still sick
114483	290	12/11/2008	back tomorrow/feeling better
114483	290	10/17/2008	
114483	290	10/17/2008	
114483	290	1/13/2009	l/mmom c/b having really difficult days with Misty
114483	290	9/23/2008	dr.appt
114483	290	10/9/2008	left early appt
114483	290	12/9/2008	left early ill
114483	290	10/20/2008	kicked off bus 5 days
114483	290	10/18/2008	5 off
114483	290	10/19/2008	5 off
114483	290	10/21/2008	5 off
114483	290	11/21/2008	rcvd note/dr.appt/Eugene
114483	290	1/8/2009	left early
114483	290	2/18/2009	still out
114483	290	1/12/2009	parent c/Misty's have a hard morning
114483	290	2/27/2009	parent c/thought out all day
114483	290	10/2/2008	left early 4/appt
114483	290	2/17/2009	parent c/ill
114483	290	2/25/2009	left early ill
114483	290	2/9/2009	Going home - over tired/uncooperative
114483	290	10/22/2008	off bus
114483	290	1/15/2009	parent c/
114483	290	1/21/2009	
114483	290	1/22/2009	parent c/apptleft early
114483	290	2/19/2009	tummy
114483	290	10/15/2008	mom c/ill
114483	290	1/21/2009	
114483	290	1/7/2009	left early appt
114483	290	9/24/2008	mom c/dr.appt
114483	290	10/8/2008	parent c/bad morning staying home
114483	290	10/3/2008	left early behavior
114483	290	3/5/2009	wrote note to teacher re:apptrcvd note
114484	197	11/13/2008	overslept
114484	197	12/16/2008	parent c/took all day to return from Eugene yesterday and returned home to everything frozen.
114484	197	1/6/2009	overslept
114484	197	12/8/2008	overslept
114484	197	10/23/2008	left early dental appt
114484	197	9/29/2008	
114484	197	9/29/2008	
114484	197	12/4/2008	still sick/cough/rcvd note for two previous days
114484	197	1/21/2009	overslept
114484	197	12/15/2008	l/m
114484	197	11/17/2008	left early ill
114484	197	10/13/2008	busyparent c/flu
114484	197	12/1/2008	busy
114484	197	3/2/2009	l/m
114484	197	3/3/2009	l/m
114484	197	1/16/2009	still sick
114484	197	2/26/2009	l/m
114484	197	2/27/2009	lm
114484	197	11/7/2008	overslept
114484	197	11/3/2008	l/msick am
114484	197	1/22/2009	l/m
114484	197	1/15/2009	sick/diaherraparent c/ill
114484	197	1/23/2009	left early ill
114484	197	9/30/2008	missed bus
114484	197	3/10/2009	Left Message
114484	197	3/4/2009	l/m on home and mom's cell regarding text books that need to b/turned in also that homework can not be put together @ this late date.  I clarified that we had understood she would be here until 3/5/9.
114485	290	9/17/2008	left early dental appt
114485	290	10/17/2008	n/amomcb - Hailey was at ER with kidney infection
114485	290	2/18/2009	still ill
114485	290	1/21/2009	left ealry dr.appt
114485	290	2/17/2009	@ dads?dad c/b home ill
114485	290	2/19/2009	still sick
114485	290	1/28/2009	l/m
114485	290	3/3/2009	ear ring torn out on badmitton net
114486	290	11/18/2008	left early dental appt
114486	290	11/5/2008	dr.appt
114486	290	9/29/2008	pu / hung up
114486	290	10/8/2008	l/m
114486	290	10/7/2008	Matt and mom were in a car accident last night out in Empire.  Car from Gussies crossed over and him them, totalled their car.  Driver and passenger bailed....Mom taking Matt to Dr.
114486	290	10/17/2008	
114486	290	10/13/2008	l/m
114486	290	10/17/2008	
114486	290	12/4/2008	
114486	290	10/22/2008	dr.appt
114486	290	1/22/2009	left early dental appt
114486	290	2/4/2009	Mom called to say student has a migraine.
174536	197	9/7/2010	Left Message
174543	290	10/30/2006	late
174543	290	10/25/2006	overslept
174543	290	4/16/2007	
174543	290	4/3/2007	still sick
174543	290	4/5/2007	out all wk
174543	290	4/6/2007	out
174543	290	1/31/2007	
174543	290	4/8/2008	Hospital
174543	290	4/10/2008	recovering
174543	290	3/13/2008	still sick
174543	290	3/31/2008	per mom/he is going to hospital in Portland-0ut all week
174543	290	3/12/2008	mom said home sick
174543	290	4/14/2008	 hospital
174543	290	4/2/2008	hospital
174543	290	4/4/2008	@ hospital
174543	290	4/7/2008	in Portland, was released then re-admitted
174543	290	5/5/2008	late
174543	290	4/9/2008	Portland?
174543	290	4/3/2008	hospital visit
174543	290	9/9/2008	In Portland @ Dr./back Thursday
174543	290	4/4/2007	parent c/out rest of wk
174543	290	4/10/2007	fever/up all nite
174543	290	4/11/2007	still ill
174543	290	1/25/2007	Per Mr.Tomaso Alex gone today and tomorrow
174543	290	1/26/2007	Per MR.Tomaso Alex gone
174543	290	2/20/2007	fever/throwing up
174543	290	6/14/2007	@ hospital all week
174543	290	6/7/2007	n/a
174543	290	4/23/2007	sick
174543	290	4/18/2007	dr.appt
174543	290	6/8/2007	n/a
174543	290	6/6/2007	n/a
174543	290	9/26/2007	late/drove in from Eugene
174543	290	4/16/2007	
174543	290	1/23/2008	appt.s
174543	290	1/11/2008	l/m
174543	290	11/13/2008	sickmom emailed that Alex was ill today and yesterday
174543	290	12/18/2008	parent emailed Alex having surgery
174543	290	12/16/2008	per teacher / in Portland for dr.appts 2days
174543	290	12/17/2008	Portland Dr
174543	290	11/12/2008	l/m
111135	10153	4/6/2004	Phone call
111136	290	9/20/2006	sickRcvd note ill last 2 days
111136	290	12/15/2005	flurcvd note ill
111136	290	9/12/2005	Rcvd note ill /checked out early?
111136	290	11/4/2005	left early
111136	290	9/20/2005	parent c/ill
111136	290	9/21/2005	parent c/ill
111136	290	10/21/2005	left early
111136	290	9/23/2005	3 days ex. then need Dr. noteRcvd parent note/no Dr.note
111136	290	9/15/2005	left early 4/appt.
111136	290	11/2/2005	ltrs snt 4.5AB
111136	290	9/19/2005	l/mRcvd call from parent ill
111136	290	1/5/2006	
111136	290	1/5/2006	
111136	290	2/2/2006	parent c/ill
111136	290	3/3/2006	no #
111136	290	1/19/2006	left early
111136	290	2/3/2006	
111136	290	1/5/2006	
111136	290	12/14/2005	left early
111136	290	1/17/2006	404.6306 temporarily disconnected
111136	290	2/3/2006	
111136	290	2/21/2006	#404.6306 not in service
111136	290	6/1/2006	left early
111136	290	4/27/2006	
111136	290	2/17/2006	14.5 abs
111136	290	4/10/2006	@ortho
111136	290	3/24/2006	trip
111136	290	4/27/2006	
111136	290	9/18/2006	parent c/ill
111136	290	6/2/2006	left early
111136	290	11/27/2006	l/m
111136	290	11/28/2006	l/m
111136	290	11/22/2006	l/m
111136	290	11/30/2006	mom said she would be out all week
111136	290	6/14/2006	per teacher last day was yesterday
111136	290	11/29/2006	mom c/said she had gone 2/dad's for Thanksgiving.  Back but sick and w/b out rest of week
111136	290	6/15/2006	out 4/yr
111136	290	11/14/2006	after getting off bus yesterday hit b/truck-no broken bones/bruised and sore-w/b back tomorrow
111136	290	6/13/2006	dental appt
111136	290	11/17/2006	left early appt
111136	290	2/22/2007	l/m
111136	290	2/8/2007	l/m
111136	290	2/9/2007	n/a
111136	290	3/19/2007	16 abs
111136	290	3/2/2007	n/a
111136	290	2/5/2007	cat died, w/probably b/in later
111136	290	3/5/2007	l/m
111136	290	2/21/2007	l/m
111136	290	4/26/2007	mom c/strep
111136	290	4/25/2007	n/a
111136	290	4/30/2007	parent c/
111136	290	4/27/2007	parent c/ill
111136	290	5/22/2007	n/a
111137	196	4/28/2004	
111138	290	4/7/2004	
111138	290	4/16/2004	Sister overslept.
111138	290	4/5/2004	
111138	290	5/27/2008	appt
111138	290	5/1/2008	n/a
111138	290	5/15/2008	n/adad stopped b/he was home ill
111138	290	6/5/2008	l/mdad cb Marcel home ill
111138	290	6/9/2008	l/m
111138	290	4/7/2008	left early ill
111138	290	5/9/2008	left early dr.appt
111138	290	10/3/2007	n/a
111138	290	11/1/2007	n/a
111138	290	11/26/2007	appt w/dad
111138	290	3/3/2008	n/a
111138	290	11/20/2007	left early
111138	290	2/4/2008	infantiagorcvd note from dr.stating not contagious for abs.
111138	290	1/31/2008	still out
111138	290	3/5/2008	n/arcvd note had to leave town on family matter/CA for previous two days
111138	290	2/11/2008	left early dr.appt
111138	290	11/19/2007	rash over weekend taking him to dr.
111138	290	1/22/2008	
111138	290	1/9/2008	left early appt 4/dad @ va in bandon
111138	290	1/29/2008	left early infantiago
111138	290	1/30/2008	infantigo
111138	290	1/7/2009	parent c/fever
111138	290	2/5/2009	Immunization Appt.
111138	290	10/27/2008	dad overslept
111138	290	12/8/2008	overslept
111138	290	1/8/2009	still ill
111138	290	1/12/2009	left early 12:25
111138	290	11/4/2008	n/a
111138	290	12/9/2008	dr.appt
111138	290	1/16/2009	n/a
111138	290	1/27/2009	n/arcvd note
111138	290	1/15/2009	n/a
111138	290	1/26/2009	left early ill
111139	290	2/16/2005	not feeling well/mom's very happy that we callrcvd note
111139	290	2/3/2005	mom c/Amy ill
111139	290	1/24/2005	mom c/Amy home
111139	290	2/4/2005	parent c/home ill
111139	290	3/30/2005	l/m
111139	290	4/6/2005	sick
111139	290	10/19/2005	ltr snt
111139	290	6/1/2005	Senate page today
111139	290	4/6/2006	n/a
111139	290	4/27/2006	Amy & mom under weather
111139	290	6/7/2006	l/m
174566	290	9/25/2006	sick
174566	290	9/26/2006	still not well
174566	290	9/27/2006	sick
174566	290	10/30/2006	late
174566	290	9/29/2006	parent suspected strep yesterday/home today must be?cb waiting 4/lab results
174566	290	10/25/2006	overslept
174566	290	9/28/2006	seeing dr. today
174566	290	11/1/2006	mom came in/Friday her last day.  Drop 11/6/6
174566	290	5/1/2008	
174566	290	5/1/2008	
174566	290	6/2/2008	late
174566	290	4/14/2008	Portland
174566	290	4/8/2008	portland
174566	290	3/31/2008	mom said she had an appt w/daughter
174566	290	3/12/2008	late/mom said was sick
174566	290	3/20/2008	dr.appt per mom
174566	290	5/21/2008	dental appt
174566	290	4/4/2008	n/a
174566	290	4/7/2008	in calling/discovered Rachel out today as well.
174566	290	5/28/2008	dr.appt
174566	290	5/8/2008	late
174566	290	5/5/2008	late
174566	290	6/9/2008	late
174566	290	3/17/2008	late
174566	290	4/24/2008	rcvd email w/2 work w/mom-
174566	290	5/1/2008	
174566	290	3/21/2008	late
174566	290	5/2/2008	per email out wk
174566	290	4/9/2008	Portland
174566	290	4/17/2008	late
174566	290	4/25/2008	sore throat
174566	290	5/1/2008	
174566	290	9/24/2007	parent c/Portland for testing thru Wednesday
174566	290	9/25/2007	still ill-out thru Wednesday
174566	290	9/20/2007	late
174566	290	10/8/2007	late
174566	290	2/19/2008	stopped to get brothers medicine
174566	290	10/23/2007	still ill
174566	290	10/18/2007	parent emailed ill
174566	290	10/26/2007	still ill
174566	290	10/25/2007	home recuperating
174566	290	10/22/2007	
174566	290	10/22/2007	
174566	290	10/9/2007	late/appt
174566	290	2/25/2008	parent snt note stating dr.appt
174566	290	3/5/2008	late
174566	290	2/26/2008	asthma problems
174566	290	2/27/2008	late
174566	290	2/14/2008	left early for dr.appt
174566	290	2/15/2008	overslept
174566	290	12/6/2007	busy
174566	290	1/25/2008	ankel/going to dr.
174566	290	1/11/2008	per g'ma not feeling well
174566	290	1/16/2008	14 ABS
174566	290	11/6/2007	rcvd email/home w/hives
174566	290	2/22/2008	late
174566	290	2/11/2008	soft ball clinic-hurt back
174566	290	2/12/2008	still getting better
174566	290	3/4/2008	rcvd note appt
174566	290	3/3/2008	late
174566	290	3/11/2008	appt per mom
174566	290	11/20/2007	Dr.appt
174566	290	1/22/2008	rcvd email/twisted her ankle going out for bus
174566	290	1/4/2008	mom emailed/daughter sick
174566	290	11/16/2007	n/a
174566	290	1/23/2008	appt. per email from mom
174566	290	1/24/2008	still having problem w/her ankel
174641	290	11/21/2006	parent c/ill
174641	290	12/13/2006	@ Dad's until after holidays
174641	290	2/8/2007	l/m
174641	290	12/5/2006	left early 4/appt.
174641	290	5/29/2008	left early dental appt
174641	290	5/13/2008	l/m
174641	290	3/31/2008	ortho appt
174641	290	5/23/2008	left early
174641	290	6/12/2008	left early dental appt
174641	290	5/6/2008	l/m
174641	290	4/24/2008	left early dr.appt
174641	290	2/16/2007	l/m
174641	290	3/22/2007	sick-req.cb from parent
174641	290	2/2/2007	l/m
174641	290	12/14/2006	@ dad's until after holidays
174641	290	10/2/2007	parent stopped by/ill
174641	290	5/25/2007	parent stopped by/leaving town back on Tuesday
174641	290	5/23/2007	left early
174641	290	6/12/2007	parent c/Dr.appt
174641	290	5/15/2007	left early dr.appt
174641	290	6/8/2007	left early
174641	290	12/10/2007	left early dental appt
174641	290	2/7/2008	l/m
174641	290	1/18/2008	on way to eugene
174641	290	1/9/2008	dental appt
174641	290	1/15/2008	l/mlate ortho appt
174641	290	2/21/2008	ortho appt
174655	290	9/15/2006	left early ill yesterday/ still sick
174655	290	9/14/2006	left early ill
174655	290	9/25/2006	left early ill
174655	290	11/15/2006	hme 2wks w/asthma
174655	290	11/20/2006	mom says keeping out re:asthma 6th day
174655	290	11/21/2006	asthma
174655	290	11/13/2006	no #
174655	290	11/22/2006	asthma
174655	290	11/14/2006	no #called mom's cell #; she said h/would b out for at least a week. has asthma.  transferred her to nurse
174655	290	11/27/2006	mom said he's w/dad in Arizona, picking him up today @ airport....she had said h/would b/out 2 weeks due to asthma
174655	290	10/24/2006	left early ill
174655	290	11/16/2006	asthma
174655	290	11/29/2006	12 abs
174655	290	10/25/2006	still ill
174655	290	11/17/2006	asthma
